id,gt,pred,correct,invalid,elapsed
FB_MF_000,8,,False,True,31.399804830551147
FB_MF_001,2,,False,True,32.022340536117554
FB_MF_002,9,,False,True,31.56855821609497
FB_MF_003,2,,False,True,31.304340839385986
FB_MF_004,2,,False,True,31.858121871948242
FB_MF_005,9,,False,True,31.594615936279297
FB_MF_006,6,,False,True,35.001258850097656
FB_MF_007,3,,False,True,31.960144519805908
FB_MF_008,1,,False,True,32.185160398483276
FB_MF_009,13,,False,True,32.03506779670715
FB_MF_010,5,,False,True,33.848552227020264
FB_MF_011,1,,False,True,32.49763083457947
FB_MF_012,2,,False,True,31.721197605133057
FB_MF_013,46,,False,True,36.50586795806885
FB_MF_014,1,,False,True,32.01157355308533
FB_MF_015,1,,False,True,32.116692781448364
FB_MF_016,53,,False,True,32.13971018791199
FB_MF_017,6,,False,True,32.290385246276855
FB_MF_018,4,,False,True,32.34929418563843
FB_MF_019,7,,False,True,31.871816396713257
FB_MF_020,10,,False,True,33.30373215675354
FB_MF_021,10,,False,True,31.716721773147583
FB_MF_022,1,,False,True,31.828373193740845
FB_MF_023,7,,False,True,31.64041805267334
FB_MF_024,5,,False,True,32.04803228378296
FB_MF_025,21,,False,True,31.50368046760559
FB_MF_026,2,,False,True,31.69932246208191
FB_MF_027,7,,False,True,31.95578360557556
FB_MF_028,13,,False,True,31.63822603225708
FB_MF_029,12,,False,True,31.64413332939148
FB_MF_030,9,,False,True,32.410178899765015
FB_MF_031,20,,False,True,31.821396112442017
FB_MF_032,9,,False,True,31.65877413749695
FB_MF_033,2,,False,True,33.02343487739563
FB_MF_034,13,,False,True,31.63539981842041
FB_MF_035,3,,False,True,31.746918439865112
FB_MF_036,5,,False,True,31.51668643951416
FB_MF_037,26,,False,True,32.21073627471924
FB_MF_038,3,,False,True,31.629316568374634
FB_MF_039,10,,False,True,31.796363353729248
FB_MF_040,7,,False,True,32.061015605926514
FB_MF_041,1,,False,True,31.7762930393219
FB_MF_042,9,,False,True,32.020222187042236
FB_MF_043,3,,False,True,31.90690279006958
FB_MF_044,9,,False,True,32.06677722930908
FB_MF_045,10,,False,True,32.38616752624512
FB_MF_046,16,,False,True,31.773423671722412
FB_MF_047,8,,False,True,31.671897172927856
FB_MF_048,9,,False,True,31.541105031967163
FB_MF_049,10,,False,True,32.121389389038086
