id,pred,gt,correct,invalid,elapsed
FB_SP_000,,4,False,True,130.0702257156372
FB_SP_001,,1,False,True,130.03265953063965
FB_SP_002,,2,False,True,129.76549196243286
FB_SP_003,,1,False,True,129.63149118423462
FB_SP_004,,1,False,True,129.38393640518188
FB_SP_005,,2,False,True,130.13457989692688
FB_SP_006,,1,False,True,129.7106535434723
FB_SP_007,,1,False,True,130.2567811012268
FB_SP_008,,2,False,True,128.89899587631226
FB_SP_009,,2,False,True,149.10643410682678
FB_SP_010,,1,False,True,150.49329257011414
FB_SP_011,,2,False,True,130.24226450920105
FB_SP_012,,2,False,True,148.46142268180847
FB_SP_013,,2,False,True,149.24961137771606
FB_SP_014,,1,False,True,129.6459412574768
FB_SP_015,,3,False,True,130.29092144966125
FB_SP_016,,1,False,True,110.65461754798889
FB_SP_017,,1,False,True,149.12241792678833
FB_SP_018,,2,False,True,129.77622246742249
FB_SP_019,,1,False,True,149.39425706863403
FB_SP_020,,1,False,True,129.17901349067688
FB_SP_021,,1,False,True,149.56347918510437
FB_SP_022,,1,False,True,129.8882279396057
FB_SP_023,,2,False,True,148.9722580909729
FB_SP_024,,1,False,True,149.0895037651062
FB_SP_025,,1,False,True,129.9053840637207
FB_SP_026,,2,False,True,130.01179957389832
FB_SP_027,,3,False,True,129.86123251914978
FB_SP_028,,5,False,True,129.7761504650116
FB_SP_029,,2,False,True,129.47292828559875
FB_SP_030,,1,False,True,130.4722819328308
FB_SP_031,,2,False,True,149.10119605064392
FB_SP_032,,3,False,True,130.00755047798157
FB_SP_033,,1,False,True,129.53721690177917
FB_SP_034,,2,False,True,149.976952791214
FB_SP_035,,1,False,True,129.66655778884888
FB_SP_036,,1,False,True,168.63249707221985
FB_SP_037,,3,False,True,130.26214909553528
FB_SP_038,,2,False,True,149.13925123214722
FB_SP_039,,1,False,True,129.88308382034302
FB_SP_040,,1,False,True,130.29423213005066
FB_SP_041,,2,False,True,130.62198400497437
FB_SP_042,,1,False,True,149.9820363521576
FB_SP_043,,3,False,True,130.37400722503662
FB_SP_044,,2,False,True,149.7954547405243
FB_SP_045,,4,False,True,149.09186005592346
FB_SP_046,,1,False,True,130.9771113395691
FB_SP_047,,1,False,True,130.49715209007263
FB_SP_048,,2,False,True,168.84595680236816
FB_SP_049,,1,False,True,130.21227169036865
