id,pred,gt,correct,invalid,elapsed
FB_SP_000,1492,4,False,False,19.71091341972351
FB_SP_001,2463,1,False,False,27.705471992492676
FB_SP_002,1,2,False,False,43.92402648925781
FB_SP_003,1190,1,False,False,35.25844693183899
FB_SP_004,1,1,True,False,22.631927728652954
FB_SP_005,684,2,False,False,31.65271496772766
FB_SP_006,917,1,False,False,31.297532558441162
FB_SP_007,3538,1,False,False,37.31868767738342
FB_SP_008,423,2,False,False,68.98077607154846
FB_SP_009,1,2,False,False,27.948564052581787
FB_SP_010,261,1,False,False,20.625319480895996
FB_SP_011,3582,2,False,False,32.43558168411255
FB_SP_012,350,2,False,False,20.48943567276001
FB_SP_013,1,2,False,False,36.196117639541626
FB_SP_014,2180,1,False,False,27.482147693634033
FB_SP_015,2604,3,False,False,24.825963020324707
FB_SP_016,1,1,True,False,24.208804607391357
FB_SP_017,3346,1,False,False,32.943718910217285
FB_SP_018,1,2,False,False,56.360960483551025
FB_SP_019,1606,1,False,False,68.78095054626465
FB_SP_020,1675,1,False,False,29.44966220855713
FB_SP_021,3594,1,False,False,28.950491428375244
FB_SP_022,1,1,True,False,45.814295053482056
FB_SP_023,1,2,False,False,28.319123029708862
FB_SP_024,2082,1,False,False,28.0136661529541
FB_SP_025,2309,1,False,False,28.213568210601807
FB_SP_026,3993,2,False,False,20.868915796279907
FB_SP_027,3788,3,False,False,20.68148159980774
FB_SP_028,808,5,False,False,34.25522065162659
FB_SP_029,1,2,False,False,45.1465847492218
FB_SP_030,2059,1,False,False,25.972025632858276
FB_SP_031,1036,2,False,False,32.30184030532837
FB_SP_032,2461,3,False,False,22.660014629364014
FB_SP_033,971,1,False,False,20.740211725234985
FB_SP_034,2026,2,False,False,21.5558340549469
FB_SP_035,3425,1,False,False,32.915716886520386
FB_SP_036,2287,1,False,False,33.69251275062561
FB_SP_037,1,3,False,False,57.092832803726196
FB_SP_038,3706,2,False,False,26.75012755393982
FB_SP_039,1,1,True,False,31.85513949394226
FB_SP_040,2385,1,False,False,34.13252305984497
FB_SP_041,1152,2,False,False,20.25953960418701
FB_SP_042,1416,1,False,False,30.843189477920532
FB_SP_043,1810,3,False,False,19.784228086471558
FB_SP_044,1989,2,False,False,19.421719789505005
FB_SP_045,3457,4,False,False,25.568748712539673
FB_SP_046,2368,1,False,False,37.876243591308594
FB_SP_047,1,1,True,False,38.965837478637695
FB_SP_048,3497,2,False,False,16.39148783683777
FB_SP_049,3760,1,False,False,41.09235191345215
