id,pred,gt,correct,invalid,elapsed
FB_SP_000,1.0,4,False,False,116.17152547836304
FB_SP_001,2463.0,1,False,False,237.60799598693848
FB_SP_002,1398.0,2,False,False,241.0332317352295
FB_SP_003,1190.0,1,False,False,95.75282907485962
FB_SP_004,2115.0,1,False,False,342.89216804504395
FB_SP_005,684.0,2,False,False,90.80387544631958
FB_SP_006,1.0,1,True,False,71.08868169784546
FB_SP_007,3538.0,1,False,False,73.66716146469116
FB_SP_008,423.0,2,False,False,359.83602023124695
FB_SP_009,1.0,2,False,False,74.33671236038208
FB_SP_010,19.0,1,False,False,89.01805686950684
FB_SP_011,3582.0,2,False,False,118.11198997497559
FB_SP_012,350.0,2,False,False,100.45587277412415
FB_SP_013,3279.0,2,False,False,75.62680506706238
FB_SP_014,2180.0,1,False,False,210.41966438293457
FB_SP_015,1.0,3,False,False,96.98081421852112
FB_SP_016,198.0,1,False,False,120.815012216568
FB_SP_017,3346.0,1,False,False,119.53979635238647
FB_SP_018,947.0,2,False,False,100.49132704734802
FB_SP_019,1606.0,1,False,False,92.84824109077454
FB_SP_020,1675.0,1,False,False,84.28076720237732
FB_SP_021,1.0,1,True,False,115.50675535202026
FB_SP_022,804.0,1,False,False,93.50464367866516
FB_SP_023,1.0,2,False,False,104.13856053352356
FB_SP_024,2082.0,1,False,False,67.96104145050049
FB_SP_025,2309.0,1,False,False,111.65640902519226
FB_SP_026,1.0,2,False,False,116.53628706932068
FB_SP_027,3788.0,3,False,False,324.88398456573486
FB_SP_028,808.0,5,False,False,231.5303189754486
FB_SP_029,2242.0,2,False,False,68.82479166984558
FB_SP_030,1.0,1,True,False,101.27675175666809
FB_SP_031,1.0,2,False,False,105.0672914981842
FB_SP_032,1.0,3,False,False,180.20176482200623
FB_SP_033,1.0,1,True,False,121.22586750984192
FB_SP_034,2026.0,2,False,False,73.82312369346619
FB_SP_035,3425.0,1,False,False,80.87188267707825
FB_SP_036,2287.0,1,False,False,94.25403571128845
FB_SP_037,,3,False,True,372.2169759273529
FB_SP_038,3706.0,2,False,False,306.31761717796326
FB_SP_039,2937.0,1,False,False,96.06924104690552
FB_SP_040,2385.0,1,False,False,121.40096187591553
FB_SP_041,1.0,2,False,False,90.99864387512207
FB_SP_042,1.0,1,True,False,81.38623905181885
FB_SP_043,1.0,3,False,False,324.9432988166809
FB_SP_044,1.0,2,False,False,211.977303981781
FB_SP_045,3457.0,4,False,False,102.23173880577087
FB_SP_046,1.0,1,True,False,80.82835030555725
FB_SP_047,3005.0,1,False,False,108.04957866668701
FB_SP_048,1.0,2,False,False,119.46835041046143
FB_SP_049,3760.0,1,False,False,364.26565623283386
